Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN5956458-1,    1.02176,   171.49,          0,     0.00,          0,     0.00,          0,     0.00,    1.02176,   171.49,    1.02197,    -8.55,          0,     0.00,          0,     0.00,          0,     0.00,    1.02197,    -8.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5752776-2,    25.9993,   -59.32,    36.1999,   168.80,    23.7598,    60.93,          0,     0.00,    12.0034,   153.05,    25.9993,   120.68,    36.1999,   -11.20,    23.7599,  -119.07,          0,     0.00,    12.0034,   -26.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651988-1,    1.90193,   -52.72,          0,     0.00,          0,     0.00,          0,     0.00,    1.90193,   -52.72,    1.90216,   127.25,          0,     0.00,          0,     0.00,          0,     0.00,    1.90216,   127.25,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5562935-1,   0.933348,   170.12,          0,     0.00,          0,     0.00,          0,     0.00,   0.933348,   170.12,   0.933632,    -9.94,          0,     0.00,          0,     0.00,          0,     0.00,   0.933632,    -9.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5502521-1,    2.07584,   168.94,          0,     0.00,          0,     0.00,          0,     0.00,    2.07584,   168.94,    2.07596,   -11.08,          0,     0.00,          0,     0.00,          0,     0.00,    2.07596,   -11.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409797-3,    17.9022,   -60.27,          0,     0.00,          0,     0.00,          0,     0.00,    17.9022,   -60.27,    17.9027,   119.73,          0,     0.00,          0,     0.00,          0,     0.00,    17.9027,   119.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926332-1,    1.14547,   169.08,          0,     0.00,          0,     0.00,          0,     0.00,    1.14547,   169.08,    1.14562,   -10.95,          0,     0.00,          0,     0.00,          0,     0.00,    1.14562,   -10.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5742811-4,    57.3745,   -59.47,    38.2023,   169.31,    74.8831,    60.13,          0,     0.00,    36.6833,    38.03,    57.3745,   120.53,    38.2023,   -10.69,    74.8831,  -119.87,          0,     0.00,    36.6832,  -141.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6505943-3,    2.90294,   169.26,          0,     0.00,          0,     0.00,          0,     0.00,    2.90294,   169.26,    2.90294,   -10.74,          0,     0.00,          0,     0.00,          0,     0.00,    2.90294,   -10.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6228278-1,    17.8616,   -59.89,          0,     0.00,          0,     0.00,          0,     0.00,    17.8616,   -59.89,    17.8616,   120.11,          0,     0.00,          0,     0.00,          0,     0.00,    17.8616,   120.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5896844-1,   0.881184,    65.47,          0,     0.00,          0,     0.00,          0,     0.00,   0.881184,    65.47,   0.881297,  -114.56,          0,     0.00,          0,     0.00,          0,     0.00,   0.881297,  -114.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5805761-1,    536.106,   -46.57,    161.517,  -141.72,    391.906,    64.55,          0,     0.00,    431.997,   -18.29,    536.106,   133.43,    161.516,    38.28,    391.906,  -115.45,          0,     0.00,    431.998,   161.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5867683-2,    23.9519,   -59.31,    36.2009,   168.79,    9.66536,    60.90,          0,     0.00,    19.2767,  -164.61,    23.9525,   120.68,    36.2015,   -11.21,    9.66611,  -119.11,          0,     0.00,    19.2768,    15.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5956467-1,    22.4183,    67.24,          0,     0.00,          0,     0.00,          0,     0.00,    22.4183,    67.24,    22.4188,  -112.76,          0,     0.00,          0,     0.00,          0,     0.00,    22.4188,  -112.76,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683804-1,      7.149,    67.29,          0,     0.00,          0,     0.00,          0,     0.00,      7.149,    67.29,    7.14938,  -112.72,          0,     0.00,          0,     0.00,          0,     0.00,    7.14938,  -112.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6505940-2,    9.54002,   168.78,          0,     0.00,          0,     0.00,          0,     0.00,    9.54002,   168.78,    9.54017,   -11.22,          0,     0.00,          0,     0.00,          0,     0.00,    9.54017,   -11.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6139649-1,    1.96167,   172.11,          0,     0.00,          0,     0.00,          0,     0.00,    1.96167,   172.11,    1.96173,    -7.90,          0,     0.00,          0,     0.00,          0,     0.00,    1.96173,    -7.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5982822-1,    1.73512,    64.10,          0,     0.00,          0,     0.00,          0,     0.00,    1.73512,    64.10,    1.73529,  -115.92,          0,     0.00,          0,     0.00,          0,     0.00,    1.73529,  -115.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81354564-11,    12.6334,    60.80,          0,     0.00,          0,     0.00,          0,     0.00,    12.6334,    60.80,    12.6345,  -119.22,          0,     0.00,          0,     0.00,          0,     0.00,    12.6345,  -119.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5807087-1,    5.15992,    64.99,          0,     0.00,          0,     0.00,          0,     0.00,    5.15992,    64.99,    5.15995,  -115.01,          0,     0.00,          0,     0.00,          0,     0.00,    5.15995,  -115.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5517002-3,    6.33395,   -59.17, 0.00552161,   -82.19,    40.6611,    59.94,          0,     0.00,    37.9817,    51.55,    6.33429,   120.82, 0.00436671,    97.81,    40.6616,  -120.07,          0,     0.00,    37.9815,  -128.45,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.A8735_48332_SW,    562.853,   -37.99,    2233.88,   151.59,    439.433,    75.82,          0,     0.00,    1817.53,   141.06,    562.853,   142.01,    2233.88,   -28.41,    439.433,  -104.18,          0,     0.00,    1817.53,   -38.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5710794-3,    562.853,   -37.99,    2233.88,   151.59,    439.433,    75.82,          0,     0.00,    1817.53,   141.06,    562.853,   142.01,    2233.88,   -28.41,    439.433,  -104.18,          0,     0.00,    1817.53,   -38.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6388581-1,    2.60172,   -59.65,          0,     0.00,          0,     0.00,          0,     0.00,    2.60172,   -59.65,    2.60188,   120.33,          0,     0.00,          0,     0.00,          0,     0.00,    2.60188,   120.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5499793-1,    1.25657,   -56.56,          0,     0.00,          0,     0.00,          0,     0.00,    1.25657,   -56.56,    1.25718,   123.34,          0,     0.00,          0,     0.00,          0,     0.00,    1.25718,   123.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653472-1,    3.89378,   170.22,          0,     0.00,          0,     0.00,          0,     0.00,    3.89378,   170.22,    3.89391,    -9.78,          0,     0.00,          0,     0.00,          0,     0.00,    3.89391,    -9.78,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6288693-1,    3.31886,   -59.44,          0,     0.00,          0,     0.00,          0,     0.00,    3.31886,   -59.44,    3.31889,   120.56,          0,     0.00,          0,     0.00,          0,     0.00,    3.31889,   120.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199518-1,    22.2553,   -60.21,    6.76014,   169.19,    23.5405,    60.45,          0,     0.00,    16.2115,     8.63,    22.2558,   119.78,    6.76067,   -10.83,    23.5412,  -119.56,          0,     0.00,    16.2115,  -171.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5738651-1,   0.745815,   169.00,          0,     0.00,          0,     0.00,          0,     0.00,   0.745815,   169.00,   0.746018,   -11.06,          0,     0.00,          0,     0.00,          0,     0.00,   0.746018,   -11.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804836-1,     24.093,   -57.06,      28.43,   170.23,    8.84236,    66.74,          0,     0.00,    13.5439,  -147.53,    24.0934,   122.93,    28.4305,    -9.77,    8.84274,  -113.27,          0,     0.00,    13.5439,    32.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926320-1,   0.454584,   169.02,          0,     0.00,          0,     0.00,          0,     0.00,   0.454584,   169.02,   0.454844,   -11.10,          0,     0.00,          0,     0.00,          0,     0.00,   0.454844,   -11.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6121686-1,   0.717741,   168.60,          0,     0.00,          0,     0.00,          0,     0.00,   0.717741,   168.60,   0.717966,   -11.47,          0,     0.00,          0,     0.00,          0,     0.00,   0.717966,   -11.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532790-1,    4.50091,    66.64,          0,     0.00,          0,     0.00,          0,     0.00,    4.50091,    66.64,    4.50124,  -113.37,          0,     0.00,          0,     0.00,          0,     0.00,    4.50124,  -113.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6258470-1,   0.507228,   -59.92,          0,     0.00,          0,     0.00,          0,     0.00,   0.507228,   -59.92,   0.507635,   119.91,          0,     0.00,          0,     0.00,          0,     0.00,   0.507635,   119.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6411407-1,    11.7353,   -59.56,  0.0200715,   -81.83,    11.5807,    60.95,          0,     0.00,    11.5709,    -0.07,    11.7357,   120.43,  0.0189719,    98.17,    11.5811,  -119.06,          0,     0.00,    11.5709,   179.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5636753-1,    3.22559,   168.59,          0,     0.00,          0,     0.00,          0,     0.00,    3.22559,   168.59,    3.22567,   -11.41,          0,     0.00,          0,     0.00,          0,     0.00,    3.22567,   -11.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6321412-1,    3.72496,    65.00,          0,     0.00,          0,     0.00,          0,     0.00,    3.72496,    65.00,    3.72501,  -115.01,          0,     0.00,          0,     0.00,          0,     0.00,    3.72501,  -115.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5833652-1,     15.162,   -60.13,          0,     0.00,          0,     0.00,          0,     0.00,     15.162,   -60.13,    15.1623,   119.87,          0,     0.00,          0,     0.00,          0,     0.00,    15.1623,   119.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803262-1,    1.56205,    60.78,          0,     0.00,          0,     0.00,          0,     0.00,    1.56205,    60.78,    1.56214,  -119.24,          0,     0.00,          0,     0.00,          0,     0.00,    1.56214,  -119.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6438273-3,    5.74648,   -59.70,    3.00768,   169.61,    5.61875,    60.82,          0,     0.00,    2.72355,    10.30,    5.74681,   120.28,    3.00801,   -10.41,    5.61917,  -119.19,          0,     0.00,    2.72353,  -169.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229827-1,    3.20411,    60.34,          0,     0.00,          0,     0.00,          0,     0.00,    3.20411,    60.34,    3.20417,  -119.67,          0,     0.00,          0,     0.00,          0,     0.00,    3.20417,  -119.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651995-1,    2.90159,    64.07,          0,     0.00,          0,     0.00,          0,     0.00,    2.90159,    64.07,    2.90189,  -115.95,          0,     0.00,          0,     0.00,          0,     0.00,    2.90189,  -115.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804793-1,    14.3386,   -56.65,          0,     0.00,          0,     0.00,          0,     0.00,    14.3386,   -56.65,    14.3389,   123.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3389,   123.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894220-2,    1.63727,   171.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.63727,   171.68,     1.6374,    -8.33,          0,     0.00,          0,     0.00,          0,     0.00,     1.6374,    -8.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6413711-1,    1.25208,   -51.47,          0,     0.00,          0,     0.00,          0,     0.00,    1.25208,   -51.47,    1.25233,   128.49,          0,     0.00,          0,     0.00,          0,     0.00,    1.25233,   128.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5837361-8, 0.000100146,   170.02,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100146,   170.02, 1.30156E-10,    63.43,          0,     0.00,          0,     0.00,          0,     0.00, 1.30156E-10,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6506316-3,    1.33539,   169.03,          0,     0.00,          0,     0.00,          0,     0.00,    1.33539,   169.03,    1.33648,   -11.14,          0,     0.00,          0,     0.00,          0,     0.00,    1.33648,   -11.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5652982-1,    3.90998,   -59.98,          0,     0.00,          0,     0.00,          0,     0.00,    3.90998,   -59.98,    3.91082,   119.98,          0,     0.00,          0,     0.00,          0,     0.00,    3.91082,   119.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5624288-1,    383.472,   -49.12,    193.593,   178.40,    261.631,    72.88,          0,     0.00,    138.791,   -14.39,    383.472,   130.88,    193.593,    -1.60,    261.631,  -107.12,          0,     0.00,    138.791,   165.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048641-1,     2.9571,   171.52,          0,     0.00,          0,     0.00,          0,     0.00,     2.9571,   171.52,    2.95722,    -8.49,          0,     0.00,          0,     0.00,          0,     0.00,    2.95722,    -8.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5686078-3,    1.63697,   171.72,          0,     0.00,          0,     0.00,          0,     0.00,    1.63697,   171.72,      1.637,    -8.28,          0,     0.00,          0,     0.00,          0,     0.00,      1.637,    -8.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8939784-1,    4.87014,    60.86,          0,     0.00,          0,     0.00,          0,     0.00,    4.87014,    60.86,    4.87082,  -119.17,          0,     0.00,          0,     0.00,          0,     0.00,    4.87082,  -119.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5989326-1,   0.573402,    64.57,          0,     0.00,          0,     0.00,          0,     0.00,   0.573402,    64.57,   0.573429,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,   0.573429,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5898057-1,    2.03537,   -59.59,          0,     0.00,          0,     0.00,          0,     0.00,    2.03537,   -59.59,    2.03541,   120.41,          0,     0.00,          0,     0.00,          0,     0.00,    2.03541,   120.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L5437_48332_SW,    348.267,   -48.63,    168.726,   179.57,    243.929,    73.55,          0,     0.00,    133.149,   -11.32,    348.267,   131.37,    168.726,    -0.43,    243.929,  -106.45,          0,     0.00,    133.149,   168.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5535139-1,    348.267,   -48.63,    168.726,   179.57,    243.929,    73.55,          0,     0.00,    133.149,   -11.32,    348.267,   131.37,    168.726,    -0.43,    243.929,  -106.45,          0,     0.00,    133.149,   168.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653463-1,   0.461338,   169.13,          0,     0.00,          0,     0.00,          0,     0.00,   0.461338,   169.13,   0.461548,   -10.97,          0,     0.00,          0,     0.00,          0,     0.00,   0.461548,   -10.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137084-3, 0.00179777,    44.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00179777,    44.67, 0.00138254,  -135.33,          0,     0.00,          0,     0.00,          0,     0.00, 0.00138254,  -135.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5472343-1,    5.18923,   168.85,          0,     0.00,          0,     0.00,          0,     0.00,    5.18923,   168.85,    5.18934,   -11.16,          0,     0.00,          0,     0.00,          0,     0.00,    5.18934,   -11.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5712477-2,    15.6324,    67.29,          0,     0.00,          0,     0.00,          0,     0.00,    15.6324,    67.29,    15.6324,  -112.71,          0,     0.00,          0,     0.00,          0,     0.00,    15.6324,  -112.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5501004-1,      17.67,   -60.11,    1.80175,   169.03, 0.00661418,   168.11,          0,     0.00,    16.5434,   -64.85,    17.6703,   119.89,    1.80208,   -11.00, 0.00518979,   -11.89,          0,     0.00,    16.5438,   115.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744357-1,    5.54058,    67.22,          0,     0.00,          0,     0.00,          0,     0.00,    5.54058,    67.22,    5.54111,  -112.80,          0,     0.00,          0,     0.00,          0,     0.00,    5.54111,  -112.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350544-3,    109.093,   -59.94,    40.1762,   169.08,    71.8899,    60.73,          0,     0.00,    55.8085,   -25.59,    109.093,   120.06,    40.1766,   -10.92,    71.8904,  -119.27,          0,     0.00,    55.8087,   154.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6900590-2,    15.3739,   -59.79,          0,     0.00,          0,     0.00,          0,     0.00,    15.3739,   -59.79,    15.3739,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,    15.3739,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6201696-2,    2.34978,    60.68,          0,     0.00,          0,     0.00,          0,     0.00,    2.34978,    60.68,    2.34985,  -119.33,          0,     0.00,          0,     0.00,          0,     0.00,    2.34985,  -119.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926324-1,    18.7832,   -59.69,          0,     0.00,          0,     0.00,          0,     0.00,    18.7832,   -59.69,    18.7835,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,    18.7835,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532749-2,    1.26072,   -60.17,          0,     0.00,          0,     0.00,          0,     0.00,    1.26072,   -60.17,    1.26075,   119.83,          0,     0.00,          0,     0.00,          0,     0.00,    1.26075,   119.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8940663-1,    2.43986,   -46.50,    1.23692,   166.57,    2.87938,    64.82,          0,     0.00,    2.03878,    33.43,    2.44191,   133.32,    1.23779,   -13.58,     2.8815,  -115.34,          0,     0.00,    2.03928,  -146.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5773980-1,   0.758586,   -60.03,          0,     0.00,          0,     0.00,          0,     0.00,   0.758586,   -60.03,   0.758895,   119.88,          0,     0.00,          0,     0.00,          0,     0.00,   0.758895,   119.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350545-1,   0.461131,   169.22,          0,     0.00,          0,     0.00,          0,     0.00,   0.461131,   169.22,   0.461338,   -10.87,          0,     0.00,          0,     0.00,          0,     0.00,   0.461338,   -10.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5653454-1,   0.762684,   -59.65,          0,     0.00,          0,     0.00,          0,     0.00,   0.762684,   -59.65,   0.763191,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,   0.763191,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5623401-1,    2.68402,    67.20,          0,     0.00,          0,     0.00,          0,     0.00,    2.68402,    67.20,     2.6842,  -112.81,          0,     0.00,          0,     0.00,          0,     0.00,     2.6842,  -112.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5863718-1,   0.756233,   -56.19,          0,     0.00,          0,     0.00,          0,     0.00,   0.756233,   -56.19,   0.756264,   123.80,          0,     0.00,          0,     0.00,          0,     0.00,   0.756264,   123.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5712584-2,     11.011,    62.83,          0,     0.00,          0,     0.00,          0,     0.00,     11.011,    62.83,    11.0111,  -117.17,          0,     0.00,          0,     0.00,          0,     0.00,    11.0111,  -117.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5924702-1,   0.154336,   169.24,          0,     0.00,          0,     0.00,          0,     0.00,   0.154336,   169.24,   0.154497,   -10.99,          0,     0.00,          0,     0.00,          0,     0.00,   0.154497,   -10.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047596-1,    5.08894,   -58.18,          0,     0.00,          0,     0.00,          0,     0.00,    5.08894,   -58.18,    5.08925,   121.81,          0,     0.00,          0,     0.00,          0,     0.00,    5.08925,   121.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744370-3,    1.59585,    60.08,          0,     0.00,          0,     0.00,          0,     0.00,    1.59585,    60.08,      1.596,  -119.94,          0,     0.00,          0,     0.00,          0,     0.00,      1.596,  -119.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5861005-3,    389.773,   -49.17,    195.351,   178.33,    288.405,    72.08,          0,     0.00,    149.061,    -5.70,    389.773,   130.83,    195.351,    -1.67,    288.405,  -107.92,          0,     0.00,    149.061,   174.30,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5776665-1,    15.6457,   168.78,          0,     0.00,          0,     0.00,          0,     0.00,    15.6457,   168.78,    15.6457,   -11.22,          0,     0.00,          0,     0.00,          0,     0.00,    15.6457,   -11.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5928546-1,    1.59696,   168.96,          0,     0.00,          0,     0.00,          0,     0.00,    1.59696,   168.96,    1.59697,   -11.04,          0,     0.00,          0,     0.00,          0,     0.00,    1.59697,   -11.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6229797-1,    1.78065,   -59.36,          0,     0.00,          0,     0.00,          0,     0.00,    1.78065,   -59.36,    1.78096,   120.60,          0,     0.00,          0,     0.00,          0,     0.00,    1.78096,   120.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714915-1,    1.46714,    62.80,          0,     0.00,          0,     0.00,          0,     0.00,    1.46714,    62.80,    1.46742,  -117.24,          0,     0.00,          0,     0.00,          0,     0.00,    1.46742,  -117.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6411385-1,    1.54105,    60.92,          0,     0.00,          0,     0.00,          0,     0.00,    1.54105,    60.92,    1.54148,  -119.14,          0,     0.00,          0,     0.00,          0,     0.00,    1.54148,  -119.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5623406-1,    3.23629,   -59.46,          0,     0.00,          0,     0.00,          0,     0.00,    3.23629,   -59.46,    3.23674,   120.51,          0,     0.00,          0,     0.00,          0,     0.00,    3.23674,   120.51,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683822-1,   0.725741,   169.22,          0,     0.00,          0,     0.00,          0,     0.00,   0.725741,   169.22,   0.725889,   -10.82,          0,     0.00,          0,     0.00,          0,     0.00,   0.725889,   -10.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6327237-2,    3.20382,   169.06,          0,     0.00,          0,     0.00,          0,     0.00,    3.20382,   169.06,    3.20394,   -10.95,          0,     0.00,          0,     0.00,          0,     0.00,    3.20394,   -10.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077785-1,     1.2503,   -59.76,          0,     0.00,          0,     0.00,          0,     0.00,     1.2503,   -59.76,    1.25074,   120.17,          0,     0.00,          0,     0.00,          0,     0.00,    1.25074,   120.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803262-8,   0.624433,    60.86,          0,     0.00,          0,     0.00,          0,     0.00,   0.624433,    60.86,   0.624614,  -119.20,          0,     0.00,          0,     0.00,          0,     0.00,   0.624614,  -119.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714080-1,    38.4251,   -57.07,     30.746,   170.26,    19.9352,    66.71,          0,     0.00,    8.87309,   -99.94,    38.4254,   122.93,    30.7464,    -9.74,    19.9356,  -113.29,          0,     0.00,    8.87325,    80.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5526906-2,    55.8984,   -60.05,    37.0583,   169.04,    43.4648,    60.60,          0,     0.00,    13.3318,   -15.31,    55.8984,   119.95,    37.0584,   -10.96,    43.4649,  -119.40,          0,     0.00,    13.3319,   164.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108145-1,    5.74739,   -59.57,  0.0161276,   -81.85,    11.5823,    60.93,          0,     0.00,     9.9747,    31.09,    5.74772,   120.42,  0.0150562,    98.15,    11.5827,  -119.08,          0,     0.00,    9.97456,  -148.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5591710-3,    343.143,   -48.54,    168.304,   179.59,     243.93,    73.54,          0,     0.00,    129.873,    -9.76,    343.143,   131.46,    168.304,    -0.41,     243.93,  -106.46,          0,     0.00,    129.874,   170.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6078776-1, 0.00844374,    50.59, 0.00550448,   -74.61, 0.00831238,   173.46,          0,     0.00, 0.00259758,   123.61, 0.00554451,  -129.41, 0.00361447,   105.39, 0.00545825,    -6.54,          0,     0.00, 0.00170568,   -56.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
